story_id,story_name,synopsis,length,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc,gay,link
2020.0,Morituri,"This is the story of Taleena, a proud and passionate young woman of the Roman provinces, who is sold into slavery and finds herself chained to an oar of a galley as a punishment for offending her owner.  After surviving that degrading ordeal, the beautiful blonde becomes both spectacle and swordswoman at the gladiator school of Flavius Autronius, where she is trained by her new masters to fight for her life and liberty in the arenas of Rome.",737930.0,10.0,10.0,95456,850,Polybios,"Oct 21, 2003","['M/f', 'F/f', 'voyeurism', 'BDSM', 'slavery', 'bondage', 'historical', 'consensual', 'humiliation', 'torture', 'nc', 'Serious', 'violent']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2020.0
396.0,A Year of Slavery,"She embezzled money from the company and the theft was discovered. As her punishment, she chose to be a sex slave instead of facing five years in prison.",350024.0,10.0,18.0,273764,211,Johnny P,"Jun 27, 2001","['F+/f', 'MF/f', 'S/M', 'slavery', 'reluctant', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=396.0
957.0,Major Slut,The female officer commanding a small installation becomes the sex slave of her NCO.,178066.0,10.0,5.0,139314,432,conwic,"May 14, 2002","['M+/f', 'exhibition', 'bondage', 'humiliation', 'nc', 'Heavy']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=957.0
1468.0,A Slave for Tracy,'A Slave for Tracy' is sequel to 'A New Life for Tracy' and carries on to describe her first year at her new school. It describes how she deals with the existence of students that are convicted criminals in her classes at school. Tracy has to learn to accept the way the criminals are treated in school.,409859.0,10.0,21.0,,589,James Wilson,"Feb 11, 2003","['F/f', 'F/f+', 'F+/f', 'spanking', 'teen', 'B/D', 'S/M', 'BDSM', 'slavery', 'bondage', 'ScFi', 'reluctant', 'Serious', 'violent']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1468.0
2143.0,O's Graduation,"After months of training, odalisque is taken for a week of testing and a celebration of her acceptance as a slave.",238935.0,10.0,5.0,69561,896,odalisque,"Dec 16, 2003","['M/f', 'exhibition', 'modification', 'toys', 'D/s', 'slavery', 'romantic', 'consensual', 'mc', 'humiliation', 'Hardcore']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2143.0
2467.0,Joanna's First Gynecological Exam,Joanna has never had a gynecological exam and that fact is what Dr. Michael is betting on.  He intends to humiliate and abuse her lovely body with the help of his colleagues.,67571.0,10.0,6.0,82359,321,Powerone,"Apr 22, 2004","['M+/f', 'enema', 'spanking', 'teen', 'S/M', 'bondage', 'college', 'reluctant', 'humiliation', 'nc']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2467.0
1003.0,The Jade Pavilion Book II : The Rise of Li Chang,"Slavery, bondage, torture and rape are the tactics of choice in this much expanded edition of  an epic struggle for supremacy in the Shanghai underworld.  The cruelty of the adversaries is surpassed only by the beauty of the Asian and European victims who become ensnared in their web of treachery, intrigue, and lust.",3299273.0,10.0,27.0,851959,425,Boccaccio,"Jun 2, 2002","['M/f', 'F/f', 'exhibition', 'interracial', 'spanking', 'voyeurism', 'BDSM', 'slavery', 'historical', 'consensual', 'humiliation', 'torture', 'nc', 'Heavy', 'violent']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1003.0
2425.0,Greed!,"Casey is a girl in search of a future in modeling. But by a strange series of events she is offered the role of bondage / sex slave for a strange group of people in Nevada. There she is trained for a new career, The training is harsh but tolerable. She is pushed to her limits in every regard. Her day starts with exercise in pony-girl bondage. It only gets more extreme from there. Why does she do this? Greed!",319063.0,10.0,14.0,102987,1003,Sir Thomas,"Apr 5, 2004","['M/f', 'F/f', 'enema', 'modification', 'toys', 'BDSM', 'slavery', 'bondage', 'real', 'consensual', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2425.0
2530.0,Toying With Tiffany,"Tiffany Daniels is the prettiest, most popular girl in high school, but suffers a series of humiliations and abuse by her teachers.",252209.0,10.0,18.0,248411,1035,Dr. Wu,"May 10, 2004","['M+/f', 'exhibition', 'HighSchool', 'reluctant', 'humiliation', 'blackmail', 'nc']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2530.0
719.0,Vanishing Act,"First there were the emails, then there was the package left in the park where Jan Sherwood did her early morning exercises - the package with Jan's name on it, with the handcuffs inside.  That was when Jan reached the certain conclusion that she was being watched. When it came, the abduction was brutal and clinical in its efficiency.  But what was the most scary feature was the timing and the lengths Jan's captor had gone to account for her disappearance.  Subjected to torture while kept bound in the man's basement, Jan gave in to his demands for access to bank accounts, and saw her entire life destroyed in front of her eyes.  Only her desire for revenge kept her focussed as she slowly grew to realise what the man had in store for her for the rest of her life - or until he grew tired of her...",407802.0,10.0,18.0,188084,344,Richard Alexander,"Jan 30, 2002","['M/f', 'spanking', 'toys', 'BDSM', 'bondage', 'real', 'torture', 'nc', 'Serious', 'violent']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=719.0
365.0,Acquisition,"She took advantage of her timid neighbor Pam and took the control over Pam, the body and the spirit. They became more and more dependent to each other.",841876.0,10.0,15.0,308729,194,Headhunter,"Jun 4, 2001","['M+/f', 'F/f', 'voyeurism', 'WaterSport', 'BDSM', 'humiliation', 'nc', 'Light']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=365.0
2141.0,Wayward Wife's Punishment,"The country in-laws offer to rehabilitate his cheating wife. It turns out they have their own reasons and agenda. It works out well for almost all concerned as he enjoys the sexual favors of a wide spectrum of kinky bed partners and is kept abreast of his cheating wife's travails. She is used and abused, big time, by an army of off the wall swingers, outraged wives, sadistic lawmen, religious fanatics and downright strange folk that people this lengthy tale. This is not for the faint hearted.",293049.0,10.0,16.0,718780,581,Lex Ludite,"Dec 16, 2003","['M/f', 'M+/f', 'F/f', 'F+/f', 'bestiality', 'enema', 'fisting', 'WaterSport', 'BDSM', 'consensual', 'humiliation', 'torture', 'nc', 'Extreme', 'violent']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2141.0
704.0,The Completion of a Circle - Dark Love 3,"Dark Love 3 THE COMPLETION OF A CIRCLE.  The final book of the trilogy, takes one of the characters from book one and two and takes him from, pet to Chosen, to Childe. The trilogy deals with SM/BD/DS, a truly romantic tale, but one that also has rape, incest, slavery torture and snuff.",472405.0,10.0,9.0,56065,291,Veronica Leigh Marquette,"Jan 25, 2002","['M/f', 'spanking', 'BDSM', 'slavery', 'romantic', 'mc', 'humiliation', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=704.0
1994.0,Encounter With Destiny - Organization Series 5,The prequel to 2nd Chance - part of the Organization Series.,386468.0,10.0,17.0,141392,430,slave ruthie,"Oct 11, 2003","['M/f', 'BDSM', 'slavery', 'torture', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1994.0
2564.0,An Alternative Life,"A man of means desires to be a, plaything of a young lady.  His wishes come true when he answers an ad for a, ""Sugar Daddy"". He quickly learns she knows far more than he about this lifestyle. He is mesmerized by her and does far more than he would have believed to please her. Additional chapters to follow very quickly.",205365.0,10.0,5.0,154149,972,Jim Hale,"May 24, 2004","['F/m', 'F/m+', 'F+/m', 'scatology', 'WaterSport', 'BDSM', 'feet', 'slavery', 'lingerie', 'bondage', 'college', 'real', 'romantic', 'consensual', 'humiliation', 'torture', 'nc', 'Serious']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2564.0
694.0,Renegade's Revenge - Dark Love 2,"Dark Love 2, A RENEGADE'S REVENGE, the tale that began with Dark Love 1 continues. A marked and protected mortal pet of one of the Elder Kin, the Vampyr, is kidnapped, tortured and branded before her master can save her. The second of the trilogy deal with SM/BD/DS. A truly romantic tale, but one that also has rape, incest, slavery torture and snuff.",570821.0,10.0,7.0,70231,291,Veronica Leigh Marquette,"Jan 20, 2002","['M/f', 'spanking', 'BDSM', 'slavery', 'romantic', 'mc', 'humiliation', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=694.0
2123.0,Trust and Toilets,"Basic tale of a trusting young girl in need and the greasy creep who ingratiates himself, gains her trust through promises of aid.  Pretty scummy story, if I do say so myself.",24493.0,10.0,9.0,66051,333,Kallie Thomas,"Dec 11, 2003","['M/f', 'Young', 'size', 'teen', 'WaterSport', 'real', 'nc', 'Extreme']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2123.0
1889.0,Master's Island,Three girls and a man are castaway on a tropical island. Indivdual aspects of dominance and submission  develop as they cope with survival.,222545.0,10.0,10.0,112101,803,Taoman,"Sep 1, 2003","['M/f', 'M/f+', 'F/f', 'spanking', 'WaterSport', 'D/s', 'slavery', 'reluctant', 'Hardcore']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1889.0
2026.0,Join the Group,One woman's search for answers on the internet leads her to discover more about herself.,108081.0,10.0,3.0,42321,853,Crybaby,"Oct 21, 2003","['M/f', 'F/m', 'cbt', 'spanking', 'toys', 'WaterSport', 'BDSM', 'real', 'romantic', 'consensual', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2026.0
861.0,Waiting for Him to Come,"A submissive woman surrenders herself to a world of pain, servitude, degradation and unfulfilled desire.",20411.0,10.0,7.0,99634,172,Ladyvet,"Apr 4, 2002","['MF/f', 'exhibition', 'modification', 'toys', 'D/s', 'S/M', 'slavery', 'bondage', 'real', 'consensual', 'humiliation', 'torture', 'Serious', 'violent']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=861.0
1243.0,Surprise Assembly,A good girl breaks a school rule and ends up with a humiliating punishment...six weeks of total nudity. Can she survivie? Could anyone?,1133720.0,10.0,21.0,262880,299,katie lynch,"Oct 17, 2002","['M+/f+', 'exhibition', 'teen', 'voyeurism', 'BDSM', 'HighSchool', 'humiliation', 'blackmail', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1243.0
594.0,Bound And Chained,"Bound and Chained involves a sci-fi setting, female domination and some serious SM action, but still romantic.",632016.0,10.0,7.0,190811,291,Veronica Leigh Marquette,"Nov 28, 2001","['F/m+', 'spanking', 'BDSM', 'slavery', 'romantic', 'humiliation', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=594.0
2468.0,Trading Stocks for Bonds,An attractive young stockbroker is summoned for a private meeting with the chairman. In the last year she lost millions through a combination of fraud and foolishness. The chairman explains how she will be reassigned to a new role within his organisation. (Complete short story),39591.0,10.0,15.0,38675,468,Aurelius,"Apr 22, 2004","['M+/f', 'D/s', 'slavery', 'bondage', 'job', 'nc', 'Serious']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2468.0
1706.0,How I became a servant of Ay'esha,"The first segment in a continuing series about a man brought by force into the service of a beautiful woman and how his love grew for her and her sisters in Dominance, the Daughters of Ay'esha.",135238.0,10.0,3.0,84206,723,Dr Charles Forbin,"Jun 3, 2003","['F/m', 'F+/m', 'cbt', 'exhibition', 'spanking', 'WaterSport', 'D/s', 'BDSM', 'slavery', 'bondage', 'real', 'romantic', 'reluctant', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1706.0
1699.0,Layover,"The first chapter in a long science fiction novel set in the not too distant future about a planet on the far edge of the galaxy where just about everything is legal, and a ship's crew on shore leave there.",733289.0,10.0,9.0,169243,639,AlwaysCocked,"May 31, 2003","['M/f', 'M/f+', 'F+/f+', 'bestiality', 'fisting', 'lactation', 'modification', 'Young', 'pregnant', 'size', 'teen', 'toys', 'transgender', 'D/s', 'B/D', 'ScFi', 'slow', 'consensual', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1699.0
