story_id,story_name,synopsis,length,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc
1.0,Adventures In Rubber,"Let's talk about your fetish of rubber, high heel, corset...",305611.0,9.0,7.0,90742,117.0,"Bill ""Gomez"" Lemieux","Jun 25, 2000","['M/f', 'B/D', 'latex', 'Serious']",0.0,0.0
2.0,Pooch's Story,The miserable slave was punished by her masters and mistresses. Very strong stuff but well written.,497310.0,8.0,15.0,143848,2.0,Mr. Ed,"Jun 27, 2000","['M/f', 'F/f', 'scatology', 'B/D', 'S/M', 'torture', 'Serious']",0.0,0.0
3.0,Owned Teacher,"A female teacher was controlled by her student, completely.",438448.0,9.0,102.0,769300,3.0,thumb,"Jun 27, 2000","['F/f', 'slavery', 'lingerie', 'humiliation', 'Serious']",1.0,0.0
4.0,The Sarcophagus,She was sexually tortured and forced to reach orgasm and was bound in the sarcophagus with absolutely no movement allowed.,170678.0,9.0,22.0,123959,4.0,JG Leathers,"Jun 29, 2000","['M/f', 'bondage', 'Serious']",0.0,0.0
5.0,White victim,White girl were captured by two black women and trained to be a painslut. The story ends up with a public catfighting event.,130401.0,9.5,8.0,93908,5.0,Allene Blake,"Jun 29, 2000","['M/f', 'F/f', 'F+/f', 'B/D', 'nc', 'Serious']",0.0,1.0
6.0,Diane,"Slave training story, all nonconsensual and strong stuff. Twelve days' training make her a completely docile slave girl: ""I will follow your every order"".",152608.0,7.0,6.0,159464,6.0,SD,"Jun 29, 2000","['F/f', 'WaterSport', 'slavery', 'bondage', 'humiliation', 'torture', 'nc', 'Serious']",1.0,1.0
7.0,Dee's Tao - The Way Of An Anatomically Challenged Masochist,"Very heavy stuff. Although some of the body modification are quite impossible, the foot fetish and anatomical challenge are quite impressive.",310100.0,9.0,8.0,78200,7.0,Andante,"Jun 29, 2000","['F/f', 'D/s', 'S/M', 'consensual', 'humiliation', 'torture', 'Serious']",0.0,0.0
8.0,Jillian's Tale,A willing slave seeks mistress and wants to be used and humilated. Is she qualified?,85687.0,8.5,15.0,54155,8.0,Dr. Phil,"Jun 29, 2000","['F+/f', 'B/D', 'S/M', 'humiliation', 'Serious']",0.0,0.0
9.0,Tamara's Extreme Bondage,Tamara was restricted in her special rubber suit with extreme agony and pleasure. The ultimate bondage.,113670.0,9.5,21.0,227786,4.0,JG Leathers,"Jun 29, 2000","['D/s', 'S/M', 'latex', 'bondage', 'torture', 'Serious']",0.0,0.0
10.0,Kristine and Mrs. Anderson,"A young slut wife, a little bit of shy and excited, is first dominated by a lebian woman. All of her holes are completely used by her Dom, while her husband watching.",77911.0,8.0,5.0,60527,10.0,Chrissy,"Jun 29, 2000","['F/f', 'toys', 'bondage', 'consensual', 'Serious']",0.0,0.0
11.0,Sehani's Story,The girls were trained to give and obtain pleasures from being bound and helpless. They were willing to give whatever they had. Some bondage was involved.,140293.0,9.5,4.0,22088,11.0,Dino Dave,"Jun 29, 2000","['M/f', 'F/f', 'feet', 'hair', 'bondage', 'Serious']",0.0,0.0
12.0,Ten Days in Another Town,"The guy was captured by policewomen and in prison for 10 days, completely under the control of these gals. He for sure had learned how to please his mistresses and obey their orders.",153545.0,8.5,3.0,59570,13.0,Nessus,"Jun 30, 2000","['F+/m', 'humiliation', 'Serious']",0.0,0.0
13.0,Janet in Training,One of my favorite BDSM stories. Janet was well trained by her mistress and finally became a mistress herself. This story also talk about the respect and safety in BDSM activity. A great drama to enjoy.,703802.0,9.5,25.0,116732,14.0,sfmaster,"Jun 30, 2000","['F/f', 'B/D', 'S/M', 'slavery', 'consensual', 'Serious']",1.0,0.0
14.0,The Challenge,"The great sequel of ""Janet in Training"". You can always expect the best from sfmaster.",783036.0,9.5,17.0,119214,14.0,sfmaster,"Jun 30, 2000","['F/f', 'F/mf', 'B/D', 'S/M', 'slavery', 'consensual', 'Serious']",1.0,0.0
15.0,Neighborhood Sex and Torture Club,"Watching these girls get the pain and the pleasure at the same time. They enjoy it, and so will you.",277615.0,9.0,20.0,164490,12.0,CyberSleuth,"Jun 30, 2000","['M/f', 'teen', 'B/D', 'Serious']",0.0,0.0
16.0,Neighborhood Sex and Torture Club 2,"Great sequel to ""Neighborhood Sex and Torture Club"". Now the club is expanded. Come and find some more willing slave girls!",391573.0,9.5,8.0,104775,12.0,CyberSleuth,"Jun 30, 2000","['M/f', 'teen', 'B/D', 'consensual', 'Serious']",0.0,0.0
17.0,"Asteroid, Mine",Great Sci-Fi story which happens in the year of 2300 to 2400. Only some light bondage and whipping involved. Written from the view of the slave girl.,165872.0,6.5,4.0,26024,11.0,Dino Dave,"Jun 30, 2000","['M/f', 'F/f', 'D/s', 'S/M', 'feet', 'ScFi', 'Serious']",0.0,0.0
18.0,The Sunday Drive,A bored city girl's car breaks down and she is taken by a motorcycle gang for their amusement. Original story provided by author.,33003.0,4.0,3.0,26716,15.0,TXpanM,"Jun 30, 2000","['MF/f', 'torture', 'Serious']",0.0,0.0
19.0,Lynne,"A very long slave training story, but it is also one of the best. After reading all 36 chapters, I still hope there are more :-D",1328585.0,9.0,44.0,359908,16.0,Just Another Bloke,"Jun 30, 2000","['M/f', 'F/f', 'B/D', 'S/M', 'slavery', 'bondage', 'humiliation', 'Serious']",1.0,0.0
20.0,Janet,Janet is left by her husband and soon becomes desperate for money to support herself and daughter. She accepts a job from a man who insists that she accept corporal punishment She is led to greater punishments and allows her daughter to be punished as well.,127190.0,9.0,15.0,86212,5.0,Allene Blake,"Jul 1, 2000","['M/f+', 'exhibition', 'snuff', 'spanking', 'BDSM', 'bondage', 'job', 'reluctant', 'humiliation', 'torture', 'Heavy']",0.0,0.0
21.0,Occupational Hazzards,A military interrogator recareers as a torturer for a secret organization.,218216.0,7.0,66.0,145090,17.0,Bruce Boxer,"Jul 1, 2000","['M/f', 'M/m', 'S/M', 'bondage', 'torture', 'Serious']",0.0,0.0
22.0,Penny's Mistake,"She was looking for a master and one night lust. But soon she got all kinds of penetration, humiliation and punishment she can imagine.",931165.0,6.0,4.0,81305,18.0,OldBird,"Jul 4, 2000","['M/f', 'F/f', 'S/M', 'humiliation', 'Serious']",0.0,0.0
23.0,Vanessa's Journal,This is my Journal of how my life improved 1000% when I went to work for a man in the East Midlands of England. Now I am an exhibitionist who loves pain.,1042241.0,7.5,3.0,123090,19.0,Vanessa,"Jul 5, 2000","['M/f', 'exhibition', 'fisting', 'spanking', 'toys', 'slavery', 'bondage', 'consensual', 'Serious', 'Light']",1.0,0.0
24.0,Captured Caroline,A very well designed plan finally worked and he kidnapped a beautiful girl and kept her as his slave. He used every way you can imagine to train her. Then what's next?,466408.0,9.5,28.0,190703,20.0,Quin,"Jul 7, 2000","['M/f', 'B/D', 'nc', 'Serious']",0.0,1.0
25.0,We Met At A Party,"Short story about one night love filled with passion, pain and pleasure.",23290.0,5.5,3.0,12712,22.0,Julie S.,"Jul 9, 2000","['M/f', 'bondage', 'Serious']",0.0,0.0
26.0,Getting Ready For The Vault,A short story about a girl controlled by her boyfriend.,18226.0,7.5,5.0,23839,22.0,Julie S.,"Jul 9, 2000","['M/f', 'S/M', 'humiliation', 'Serious']",0.0,0.0
27.0,The Ultimate Bondage Session,A story about incredibly intense bondage all in one session.  Includes severe CBT and mummification with head bondage given by an experienced domme.,17953.0,8.5,6.0,50052,23.0,pcmman,"Jul 9, 2000","['F/m', 'cbt', 'B/D', 'S/M', 'BDSM', 'bondage', 'torture', 'nc', 'Heavy', 'Serious']",0.0,1.0
28.0,Karen in Trouble,Two girls were caught when they played a bondage game. Soon they were forced to complete a series of tasks before they can get their nasty photos back.,111866.0,8.0,5.0,52482,24.0,Karen Johnson,"Jul 11, 2000","['M+/f', 'exhibition', 'toys', 'bondage', 'Serious']",0.0,0.0
29.0,Catwoman's Prey,"Batgirl sets out to solve the mystery of Supergirl's disappearnce, only to join the latter and fall into the hands of Catwoman. Like Supergirl, she is tortured, abused and trained to become a sex slave. And in her new life as a sex slave, Barbara Gordon will get to see the dark side of Gotham city's high society.",136926.0,9.0,6.0,65349,25.0,Citizen Bane,"Jul 13, 2000","['M+/f', 'F/f', 'B/D', 'nc', 'Serious']",0.0,1.0
30.0,Jenny,Nobody likes been spanked more than these girls do. They love spanking with no boundary. Come and get some swollen asses!,366746.0,7.5,2.0,62660,30.0,Unknown,"Jul 13, 2000","['M/f', 'F/f', 'spanking', 'Serious']",0.0,0.0
31.0,Out Of Commission,"The story of a young woman who says she will do anything to make a sale, and a man who takes up her offer in ways she will never forget.",15449.0,8.0,7.0,24356,21.0,Adrian Hunter,"Jul 14, 2000","['M/f', 'bondage', 'Serious']",0.0,0.0
32.0,Second Place,Two girls competed with each other for almost everything. Finally the second-place fought back and turned the first-place a docile slave.,331239.0,9.0,25.0,137153,26.0,Terri Madison,"Jul 14, 2000","['F/f', 'humiliation', 'nc', 'Serious']",0.0,1.0
33.0,Amber In A Box,A short story about a slave girl mailed to another master for the weekend entertainment.,29081.0,9.0,13.0,83989,27.0,MrBondskin,"Jul 14, 2000","['M/f', 'incest', 'modification', 'scatology', 'WaterSport', 'S/M', 'torture', 'Serious']",0.0,0.0
34.0,A Slave's Road,"This story is about a man coming to terms with his submissive fantasies versus the reality of being enslaved. The story contains FMm, foot fetish, humiliation and most other acts and desires in a D/s relationship.",189613.0,9.5,27.0,239280,28.0,Neil,"Jul 15, 2000","['F/m', 'MF/m', 'D/s', 'feet', 'humiliation', 'Serious']",0.0,0.0
